geo,name,four_regions,eight_regions,Latitude,Longitude,income groups
vct,St. Vincent and the Grenadines,americas,america_north,13.08333,-61.2,Upper middle income
sur,Suriname,americas,america_south,4,-56,Upper middle income
tto,Trinidad and Tobago,americas,america_north,11,-61,High income
ury,Uruguay,americas,america_south,-33,-56,High income
ven,Venezuela,americas,america_south,8,-66,Upper middle income
dza,Algeria,africa,africa_north,28,3,Upper middle income
bhr,Bahrain,asia,asia_west,26.03333,50.55,High income
dji,Djibouti,africa,africa_north,11.58901,43.14503,Lower middle income
egy,Egypt,africa,africa_north,27,30,Lower middle income
irn,Iran,asia,asia_west,32,53,Upper middle income
irq,Iraq,asia,asia_west,33,44,Upper middle income
isr,Israel,asia,asia_west,31.5,34.75,High income
jor,Jordan,asia,asia_west,31,36,Lower middle income
kwt,Kuwait,asia,asia_west,29.36972,47.97833,High income
lbn,Lebanon,asia,asia_west,33.83333,35.83333,Upper middle income
lby,Libya,africa,africa_north,28,17,Upper middle income
mlt,Malta,europe,europe_west,35.91667,14.43333,High income
mar,Morocco,africa,africa_north,32,-6,Lower middle income
omn,Oman,asia,asia_west,21,57,High income
qat,Qatar,asia,asia_west,25.27932,51.52245,High income
sau,Saudi Arabia,asia,asia_west,25,45,High income
syr,Syria,asia,asia_west,35,38,Lower middle income
tun,Tunisia,africa,africa_north,34,9,Lower middle income
are,United Arab Emirates,asia,asia_west,23.75,54.5,High income
pse,Palestine,asia,asia_west,31.92157,35.20329,Lower middle income
yem,Yemen,asia,asia_west,15.5,47.5,Lower middle income
can,Canada,americas,america_north,60.10867,-113.64258,High income
usa,United States,americas,america_north,39.76,-98.5,High income
afg,Afghanistan,asia,asia_west,33,66,Low income
bgd,Bangladesh,asia,asia_west,24,90,Lower middle income
btn,Bhutan,asia,asia_west,27.5,90.5,Lower middle income
ind,India,asia,asia_west,22,79,Lower middle income
mdv,Maldives,asia,asia_west,3.2,73,Upper middle income
npl,Nepal,asia,asia_west,28,84,Low income
pak,Pakistan,asia,asia_west,30,70,Lower middle income
lka,Sri Lanka,asia,asia_west,7.75,80.75,Lower middle income
ago,Angola,africa,africa_sub_saharan,-12.5,18.5,Lower middle income
ben,Benin,africa,africa_sub_saharan,9.5,2.25,Low income
bwa,Botswana,africa,africa_sub_saharan,-22,24,Upper middle income
bfa,Burkina Faso,africa,africa_sub_saharan,12.5,-1.66667,Low income
bdi,Burundi,africa,africa_sub_saharan,-3.5,30,Low income
cmr,Cameroon,africa,africa_sub_saharan,6,12.5,Lower middle income
cpv,Cape Verde,africa,africa_sub_saharan,16,-24,Lower middle income
caf,Central African Republic,africa,africa_sub_saharan,7,21,Low income
tcd,Chad,africa,africa_sub_saharan,15,19,Low income
com,Comoros,africa,africa_sub_saharan,-12.23333,44.44553,Low income
cod,"Congo, Dem. Rep.",africa,africa_sub_saharan,-2.5,23.5,Low income
cog,"Congo, Rep.",africa,africa_sub_saharan,-1,15.5,Lower middle income
civ,Cote d'Ivoire,africa,africa_sub_saharan,8,-5.5,Lower middle income
gnq,Equatorial Guinea,africa,africa_sub_saharan,1.7,10.5,Upper middle income
eri,Eritrea,africa,africa_sub_saharan,15,39,Low income
eth,Ethiopia,africa,africa_sub_saharan,9,39.5,Low income
gab,Gabon,africa,africa_sub_saharan,-1,11.75,Upper middle income
gmb,Gambia,africa,africa_sub_saharan,13.5,-15.5,Low income
gha,Ghana,africa,africa_sub_saharan,8.1,-1.2,Lower middle income
gin,Guinea,africa,africa_sub_saharan,10.83333,-10.66667,Low income
gnb,Guinea-Bissau,africa,africa_sub_saharan,12,-15,Low income
ken,Kenya,africa,africa_sub_saharan,1,38,Lower middle income
lso,Lesotho,africa,africa_sub_saharan,-29.5,28.25,Lower middle income
lbr,Liberia,africa,africa_sub_saharan,6.5,-9.5,Low income
mdg,Madagascar,africa,africa_sub_saharan,-20,47,Low income
mwi,Malawi,africa,africa_sub_saharan,-13.5,34,Low income
mli,Mali,africa,africa_sub_saharan,18,-2,Low income
mrt,Mauritania,africa,africa_sub_saharan,20.25,-10.5,Lower middle income
mus,Mauritius,africa,africa_sub_saharan,-20.3,57.58333,Upper middle income
moz,Mozambique,africa,africa_sub_saharan,-18.25,35,Low income
nam,Namibia,africa,africa_sub_saharan,-22,17,Upper middle income
ner,Niger,africa,africa_sub_saharan,18,9,Low income
nga,Nigeria,africa,africa_sub_saharan,10,8,Lower middle income
rwa,Rwanda,africa,africa_sub_saharan,-2,30,Low income
stp,Sao Tome and Principe,africa,africa_sub_saharan,1,7,Lower middle income
sen,Senegal,africa,africa_sub_saharan,14.5,-14.25,Low income
syc,Seychelles,africa,africa_sub_saharan,-4.58333,55.66667,High income
sle,Sierra Leone,africa,africa_sub_saharan,8.5,-11.5,Low income
som,Somalia,africa,africa_sub_saharan,6,48,Low income
zaf,South Africa,africa,africa_sub_saharan,-29,24,Upper middle income
sdn,Sudan,africa,africa_sub_saharan,16,30,Lower middle income
swz,Swaziland,africa,africa_sub_saharan,-26.5,31.5,Lower middle income
tza,Tanzania,africa,africa_sub_saharan,-6,35,Low income
tgo,Togo,africa,africa_sub_saharan,8.66667,1.08333,Low income
uga,Uganda,africa,africa_sub_saharan,1.25,32.5,Low income
zmb,Zambia,africa,africa_sub_saharan,-14.33333,28.5,Lower middle income
zwe,Zimbabwe,africa,africa_sub_saharan,-19,29.75,Low income
ssd,South Sudan,africa,africa_sub_saharan,7.5,30,Low income
